collar_num,Elevation_m,landcover_type
1,1.4566,S. foliosa
2,1.5417,S. foliosa
3,1.7483,S. pacifica
4,1.714,S. pacifica
5,1.7205,S. pacifica
6,1.6971,mudflat
7,1.6828,mudflat
8,1.6951,mudflat
9,1.7586,mudflat
10,1.743,S. pacifica
11,1.7347,S. pacifica
12,1.5261,S. foliosa
13,1.5349,S. foliosa
14,1.6498,mudflat
15,1.6336,mudflat
16,1.6851,S. pacifica
17,1.6244,mudflat
18,1.6162,S. foliosa
19,1.6199,S. foliosa
20,1.5981,S. foliosa
21,1.618,mudflat
22,1.7714,S. pacifica
23,1.685,S. pacifica
24,1.5686,S. foliosa
